                  pl_name,               hostname,sy_snum,sy_pnum, pl_orbsmax,pl_rade, pl_bmasse, st_teff, st_rad,     sy_dist
                 GJ 504 b,                 GJ 504,      1,      1,  43.500000,unknown,1271.30000, 6234.00,unknown,  17.5299000
                  GJ 86 b,                  GJ 86,      2,      1,   0.110000,unknown,1404.80860, 5182.00,   0.77,  10.7836000
                GJ 9827 b,                GJ 9827,      1,      3,   0.018800,  1.577,   4.91000, 4340.00,   0.60,  29.6610000
                GJ 9827 c,                GJ 9827,      1,      3,   0.039250,  1.241,   0.84000, 4340.00,   0.60,  29.6610000
                GJ 9827 d,                GJ 9827,      1,      3,   0.055910,  2.022,   4.04000, 4340.00,   0.60,  29.6610000
                HAT-P-1 b,                HAT-P-1,      2,      1,   0.055610, 14.785, 166.86075, 5980.00,   1.17, 158.9790000
               HAT-P-11 b,               HAT-P-11,      1,      2,   0.052540,  4.360,  23.40000, 4780.00,   0.68,  37.7647000
               HAT-P-11 c,               HAT-P-11,      1,      2,   4.130000,unknown, 507.00000, 4780.00,   0.68,  37.7647000
               HAT-P-12 b,               HAT-P-12,      1,      1,   0.038400, 10.749,  67.05900, 4650.00,   0.70, 142.7510000
               HAT-P-14 b,               HAT-P-14,      2,      1,    unknown, 15.917,1093.33520, 6600.00,   1.82, 222.6630000
               HAT-P-15 b,               HAT-P-15,      1,      1,    unknown, 11.882, 616.59020, 5568.00,   1.07, 192.5160000
               HAT-P-16 b,               HAT-P-16,      3,      1,   0.041300, 14.448,1332.60500, 6158.00,   1.24, 226.6370000
               HAT-P-17 b,               HAT-P-17,      1,      2,    unknown, 11.769, 184.34140, 5246.00,   0.87,  92.3831000
               HAT-P-17 c,               HAT-P-17,      1,      2,   5.600000,unknown,1080.60000, 5336.96,   0.84,  92.3831000
               HAT-P-18 b,               HAT-P-18,      1,      1,   0.055900, 11.153,  62.61000, 4803.00,   0.75, 161.4000000
               HAT-P-19 b,               HAT-P-19,      1,      1,   0.046600, 12.689,  92.80200, 4990.00,   0.82, 202.0780000
                HAT-P-2 b,                HAT-P-2,      1,      1,   0.068140,unknown,2739.69460, 6380.00,   1.39, 127.7740000
               HAT-P-20 b,               HAT-P-20,      1,      1,   0.036100,  9.718,2302.89900, 4595.00,   0.69,  71.0374000
               HAT-P-21 b,               HAT-P-21,      1,      1,    unknown, 12.442,1547.83210, 5588.00,   1.21, 277.2780000
               HAT-P-22 b,               HAT-P-22,      2,      1,    unknown, 12.890, 785.04010, 5302.00,   1.11,  81.7647000
               HAT-P-23 b,               HAT-P-23,      1,      1,    unknown, 12.218, 425.89220, 5905.00,   0.96, 364.8130000
               HAT-P-24 b,               HAT-P-24,      2,      1,    unknown, 14.572, 238.37250, 6373.00,   1.38, 415.3440000
               HAT-P-25 b,               HAT-P-25,      1,      1,   0.046600, 12.722, 180.84527, 5519.00,   0.92, 300.3840000
               HAT-P-26 b,               HAT-P-26,      1,      1,    unknown,  7.062,  22.24810, 5079.00,   0.87, 141.8370000
               HAT-P-27 b,               HAT-P-27,      2,      1,   0.040000, 11.430, 197.05000, 5316.00,   0.86, 199.1730000
               HAT-P-28 b,               HAT-P-28,      1,      1,   0.043400, 13.585, 198.95300, 5680.00,   1.10, 401.3190000
               HAT-P-29 b,               HAT-P-29,      2,      1,    unknown, 13.115, 279.69040, 6087.00,   1.30, 313.5760000
                HAT-P-3 b,                HAT-P-3,      2,      1,    unknown, 10.536, 206.58950, 5185.00,   0.87, 134.5540000
               HAT-P-30 b,               HAT-P-30,      2,      1,    unknown, 16.141, 263.79890, 6304.00,   1.31, 213.9850000
               HAT-P-31 b,               HAT-P-31,      1,      1,    unknown, 12.218, 721.47410, 6065.00,   1.39, 344.0500000
               HAT-P-32 b,               HAT-P-32,      2,      1,   0.033970, 22.194, 216.12440, 6001.00,   1.37, 289.2050000
               HAT-P-33 b,               HAT-P-33,      2,      1,    unknown, 20.737, 292.40360, 6446.00,   1.79, 396.1100000
               HAT-P-34 b,               HAT-P-34,      1,      1,   0.067740, 13.417,1058.37390, 6442.00,   1.53, 249.3250000
               HAT-P-35 b,               HAT-P-35,      3,      1,   0.049780, 14.930, 335.62848, 6096.00,   1.44, 506.9650000
               HAT-P-36 b,               HAT-P-36,      1,      1,   0.024100, 14.314, 587.41341, 5620.00,   1.04, 294.4190000
               HAT-P-37 b,               HAT-P-37,      1,      1,   0.037900, 13.204, 371.52800, 5500.00,   0.88, 390.5940000
               HAT-P-38 b,               HAT-P-38,      1,      1,   0.052300,  9.247,  84.85700, 5330.00,   0.92, 255.2060000
               HAT-P-39 b,               HAT-P-39,      2,      1,   0.050900, 17.609, 190.37200, 6430.00,   1.62, 697.0040000
                HAT-P-4 b,                HAT-P-4,      2,      1,   0.044380, 14.280, 213.25500, 5860.00,unknown, 320.4510000
               HAT-P-40 b,               HAT-P-40,      1,      1,    unknown, 17.038, 152.55840, 6080.00,   1.94, 464.4690000
               HAT-P-41 b,               HAT-P-41,      2,      1,    unknown, 22.978, 378.21770, 6390.00,   2.05, 348.1850000
               HAT-P-42 b,               HAT-P-42,      1,      1,   0.057500, 14.348, 331.80100, 5743.00,   1.53, 405.2380000
               HAT-P-43 b,               HAT-P-43,      1,      1,   0.044400, 13.630,   unknown, 5693.00,   1.08, 528.8250000
               HAT-P-44 b,               HAT-P-44,      1,      2,   0.050700, 13.922, 111.87100, 5295.00,   0.95, 347.8500000
               HAT-P-44 c,               HAT-P-44,      1,      2,   1.752000,unknown,1271.30000, 5295.00,   0.95, 347.8500000
               HAT-P-45 b,               HAT-P-45,      1,      1,   0.045200, 15.984, 283.49200, 6330.00,   1.32, 298.6400000
               HAT-P-46 b,               HAT-P-46,      1,      1,   0.057700, 14.392, 156.68400, 6120.00,   1.40, 290.7360000
               HAT-P-49 b,               HAT-P-49,      1,      1,    unknown, 17.822, 699.22600, 6820.00,   2.06, 350.3510000
                HAT-P-5 b,                HAT-P-5,      1,      1,    unknown, 13.563, 311.47340, 5960.00,   1.12, 303.3360000
               HAT-P-50 b,               HAT-P-50,      1,      1,   0.045300, 14.437, 429.07050, 6280.00,   1.70, 515.4580000
               HAT-P-51 b,               HAT-P-51,      1,      1,   0.050690, 14.493,  98.20947, 5449.00,   1.04, 440.0890000
               HAT-P-52 b,               HAT-P-52,      1,      1,   0.036940, 11.310, 259.98494, 5131.00,   0.89, 361.1550000
               HAT-P-53 b,               HAT-P-53,      1,      1,   0.031590, 14.773, 471.65972, 5956.00,   1.21, 666.8020000
               HAT-P-54 b,               HAT-P-54,      1,      1,   0.041170, 10.581, 241.55080, 4390.00,   0.62, 143.6510000
               HAT-P-55 b,               HAT-P-55,      1,      1,   0.046040, 13.249, 184.97706, 5808.00,   1.01, 511.3880000
               HAT-P-56 b,               HAT-P-56,      1,      1,    unknown, 16.926, 734.18730, 6566.00,   1.47, 320.6390000
               HAT-P-57 b,               HAT-P-57,      3,      1,    unknown, 19.504, 448.14030, 6330.00,   1.85, 279.8600000
               HAT-P-58 b,               HAT-P-58,      1,      1,   0.049940, 14.930, 118.23217, 6078.00,   1.53, 515.5900000
               HAT-P-59 b,               HAT-P-59,      1,      1,   0.050640, 12.588, 489.45575, 5678.00,   1.10, 265.4710000
                HAT-P-6 b,                HAT-P-6,      1,      1,    unknown, 16.589, 419.53560, 6570.00,   1.62, 275.3580000
               HAT-P-60 b,               HAT-P-60,      1,      1,   0.062770, 18.282, 182.43351, 6212.00,   2.20, 233.2200000
               HAT-P-61 b,               HAT-P-61,      1,      1,   0.030100, 10.077, 335.94463, 5587.00,   0.94, 338.8400000
               HAT-P-62 b,               HAT-P-62,      1,      1,   0.037720, 12.027, 241.86742, 5629.00,   1.17, 348.8150000
               HAT-P-63 b,               HAT-P-63,      1,      1,   0.042940, 12.543, 195.14664, 5400.00,   0.97,4483.0500000
               HAT-P-64 b,               HAT-P-64,      1,      1,   0.053870, 19.089, 184.34048, 6457.00,   1.74, 651.8970000
               HAT-P-65 b,               HAT-P-65,      1,      1,   0.039510, 21.185, 167.49641, 5835.00,   1.86, 738.5190000
               HAT-P-66 b,               HAT-P-66,      1,      1,   0.043630, 17.822, 248.86089, 6002.00,   1.88, 935.4560000
               HAT-P-67 b,               HAT-P-67,      2,      1,   0.065050, 23.371, 108.06220, 6406.00,   2.55, 371.6860000
               HAT-P-68 b,               HAT-P-68,      1,      1,   0.029960, 12.016, 230.10892, 4508.00,   0.67, 202.1520000
                HAT-P-7 b,                HAT-P-7,      2,      1,    unknown, 16.926, 584.80720, 6389.00,   2.00, 341.0790000
                HAT-P-8 b,                HAT-P-8,      3,      1,    unknown, 15.693, 406.82240, 6200.00,   1.57, 211.5530000
                HAT-P-9 b,                HAT-P-9,      1,      1,   0.052870, 15.614, 238.05467, 6350.00,   1.34, 455.2030000
                 HATS-1 b,                 HATS-1,      1,      1,   0.044400, 14.594, 589.55000, 5870.00,   1.04, 283.9710000
                HATS-10 b,                HATS-10,      1,      1,   0.044910, 10.862, 167.17858, 5880.00,   1.10, 534.8890000
                HATS-11 b,                HATS-11,      1,      1,   0.050700, 18.030,   unknown, 6563.00,   1.54, 944.6030000
                HATS-12 b,                HATS-12,      1,      1,   0.044100,  7.760,   unknown, 6357.00,   1.17, 746.1380000
                HATS-13 b,                HATS-13,      1,      1,   0.040570, 13.585, 172.58169, 5523.00,   0.89, 421.8550000
                HATS-14 b,                HATS-14,      1,      1,   0.038150, 11.646, 340.39593, 5346.00,   0.93, 513.0110000
                HATS-15 b,                HATS-15,      1,      1,   0.027120, 12.386, 689.69110, 5311.00,   0.92,1139.5500000
                HATS-16 b,                HATS-16,      1,      1,   0.037440, 14.572,1039.30410, 5738.00,   1.24, 757.0440000
                HATS-17 b,                HATS-17,      1,      1,   0.130800,  8.709, 425.25654, 5846.00,   1.09, 400.3310000
                HATS-18 b,                HATS-18,      1,      1,   0.017400, 14.897, 629.14449, 5600.00,   1.02, 624.3680000
                 HATS-2 b,                 HATS-2,      1,      1,   0.023000, 13.092, 427.46300, 5227.00,   0.90, 341.9250000
                HATS-22 b,                HATS-22,      1,      1,   0.050250, 10.682, 870.85420, 4803.00,   0.69, 229.5180000
                HATS-23 b,                HATS-23,      1,      1,   0.033970, 20.849, 467.21010, 5780.00,   1.20, 639.0040000
                HATS-24 b,                HATS-24,      1,      1,   0.023800, 15.637, 718.29580, 6125.00,   1.12, 494.1820000
                HATS-25 b,                HATS-25,      1,      1,   0.051630, 14.123, 194.82979, 5715.00,   1.11, 471.1580000
                HATS-26 b,                HATS-26,      1,      1,   0.047350, 19.616, 206.58950, 6071.00,   2.04, 861.8430000
                HATS-27 b,                HATS-27,      1,      1,   0.061100, 16.814, 168.44990, 6438.00,   1.74, 816.9880000
                HATS-28 b,                HATS-28,      1,      1,   0.041310, 13.384, 213.58176, 5498.00,   0.92, 535.3830000
                HATS-29 b,                HATS-29,      1,      1,   0.054750, 14.022, 207.54299, 5670.00,   1.07, 353.8910000
                 HATS-3 b,                 HATS-3,      1,      1,   0.048500, 15.480, 340.38200, 6351.00,   1.40, 411.2110000
                HATS-30 b,                HATS-30,      2,      1,   0.043540, 13.171, 224.38798, 5943.00,   1.06, 342.1400000
                HATS-31 b,                HATS-31,      1,      1,   0.047800, 18.383, 279.69040, 6050.00,   1.87, 773.9740000
                HATS-32 b,                HATS-32,      1,      1,   0.040240, 14.000, 292.40360, 5700.00,   1.10, 745.1160000
                HATS-33 b,                HATS-33,      1,      1,   0.037270, 13.787, 378.85336, 5659.00,   1.02, 248.4600000
                HATS-34 b,                HATS-34,      1,      1,   0.031660, 16.029, 299.07803, 5380.00,   0.98, 508.8420000
                HATS-35 b,                HATS-35,      1,      1,   0.031990, 16.410, 388.38826, 6300.00,   1.43, 514.5550000
                HATS-36 b,                HATS-36,      1,      1,   0.052300, 12.920,   unknown, 5950.00,   1.10, 856.4360000
              HATS-37 A b,              HATS-37 A,      2,      1,   0.049130,  6.793,  31.46517, 5326.00,   0.88, 211.8960000
                HATS-38 b,                HATS-38,      1,      1,   0.050360,  6.882,  23.51942, 5732.00,   1.10, 343.5250000
                HATS-39 b,                HATS-39,      1,      1,   0.060070, 17.598, 200.23290, 6572.00,   1.62, 878.5210000
                 HATS-4 b,                 HATS-4,      1,      1,   0.036200, 11.433, 420.47100, 5403.00,   0.93, 416.4590000
                HATS-40 b,                HATS-40,      1,      1,   0.049970, 17.710, 505.34970, 6460.00,   2.26,1342.2900000
                HATS-41 b,                HATS-41,      1,      1,   0.058300, 14.908,3082.95100, 6424.00,   1.71, 737.6680000
                HATS-42 b,                HATS-42,      1,      1,   0.036890, 15.693, 597.52040, 6060.00,   1.48, 800.3770000
